BinNo	Start	End	No
1	0.005	0.015	6455
2	0.015	0.025	6487
3	0.025	0.035	6294
4	0.035	0.045	6478
5	0.045	0.055	6404
6	0.055	0.065	6480
7	0.065	0.075	6523
8	0.075	0.085	6577
9	0.085	0.095	6471
10	0.095	0.105	6621
11	0.105	0.115	6608
12	0.115	0.125	6665
13	0.125	0.135	6693
14	0.135	0.145	6778
15	0.145	0.155	7079
16	0.155	0.165	6968
17	0.165	0.175	7250
18	0.175	0.185	7718
19	0.185	0.195	9335
20	0.195	0.205	8930
21	0.205	0.215	8547
22	0.215	0.225	7988
23	0.225	0.235	7725
24	0.235	0.245	7328
25	0.245	0.255	7494
26	0.255	0.265	7187
27	0.265	0.275	7228
28	0.275	0.285	7010
29	0.285	0.295	7103
30	0.295	0.305	7194
31	0.305	0.315	7284
32	0.315	0.325	7260
33	0.325	0.335	7303
34	0.335	0.345	7434
35	0.345	0.355	7276
36	0.355	0.365	7289
37	0.365	0.375	7277
38	0.375	0.385	7011
39	0.385	0.395	7452
40	0.395	0.405	7599
41	0.405	0.415	7699
42	0.415	0.425	7835
43	0.425	0.435	8039
44	0.435	0.445	8232
45	0.445	0.455	8293
46	0.455	0.465	8084
47	0.465	0.475	7770
48	0.475	0.485	4601
49	0.485	0.495	2621
50	0.495	0.505	1955
51	0.505	0.515	1580
52	0.515	0.525	1157
53	0.525	0.535	902
54	0.535	0.545	828
55	0.545	0.555	679
56	0.555	0.565	619
57	0.565	0.575	564
58	0.575	0.585	631
59	0.585	0.595	520
60	0.595	0.605	480
61	0.605	0.615	401
62	0.615	0.625	381
63	0.625	0.635	1297
64	0.635	0.645	303
65	0.645	0.655	269
66	0.655	0.665	393981
67	0.665	0.675	0
68	0.675	0.685	0
69	0.685	0.695	0
70	0.695	0.705	0
71	0.705	0.715	0
72	0.715	0.725	0
73	0.725	0.735	0
74	0.735	0.745	0
75	0.745	0.755	0
76	0.755	0.765	0
77	0.765	0.775	0
78	0.775	0.785	0
79	0.785	0.795	0
80	0.795	0.805	0
81	0.805	0.815	0
82	0.815	0.825	0
83	0.825	0.835	0
84	0.835	0.845	0
85	0.845	0.855	0
86	0.855	0.865	0
87	0.865	0.875	0
88	0.875	0.885	0
89	0.885	0.895	0
90	0.895	0.905	0
91	0.905	0.915	0
92	0.915	0.925	0
93	0.925	0.935	0
94	0.935	0.945	0
95	0.945	0.955	0
96	0.955	0.965	0
97	0.965	0.975	0
98	0.975	0.985	0
99	0.985	0.995	0
100	0.995	1.005	0
101	1.005	1.015	0
102	1.015	1.025	0
103	1.025	1.035	0
104	1.035	1.045	0
105	1.045	1.055	0
106	1.055	1.065	0
107	1.065	1.075	0
108	1.075	1.085	0
109	1.085	1.095	0
110	1.095	1.105	0
111	1.105	1.115	0
112	1.115	1.125	0
113	1.125	1.135	0
114	1.135	1.145	0
115	1.145	1.155	0
